League,Year,player,team_id,position,goals,assists,key_passes,xG,xA,time,shots,player_id,xGChain,xGBuildup,,League,EPL,,,
EPL,2014,Samir Nasri,88,AMR,0,1,1,0.200610995,0.554754019,90,2,877,0.755365014,0.108503997,,,,,,
EPL,2014,David Silva,88,AML,0,0,2,0,0.083853103,90,0,617,0.82447201,0.82447201,,,,,,
EPL,2014,Alexis Sánchez,83,AMR,0,2,5,0.245823994,0.523550987,88,2,498,0.638677001,0.089744397,,,,,,
EPL,2014,Danny Welbeck,83,AML,0,0,2,0.089744397,0.171024993,90,1,501,0.364522994,0.103753,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,1,0,0.091808602,90,0,616,0.880796015,0.788986981,,,,,,
EPL,2014,Samir Nasri,88,AML,0,0,2,0.102958001,0.164333001,90,2,877,0.915297985,0.750964999,,,,,,
EPL,2014,Erik Lamela,82,AMR,1,0,4,0.049301501,0.161845997,90,2,644,0.611819983,0.424885005,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,1,3,0.080322102,0.660622001,90,1,648,0.657141984,0.552359998,,,,,,
EPL,2014,Alexis Sánchez,83,FWR,0,0,2,0,0.0507298,90,0,498,0.473731995,0.423002005,,,,,,
EPL,2014,Danny Welbeck,83,FWL,0,0,0,0.106729001,0,90,1,501,0,0,,,,,,
EPL,2014,Willian,80,AMR,0,0,0,0.201591998,0,83,4,700,0.391714007,0.242349997,,,,,,
EPL,2014,Eden Hazard,80,AML,0,1,4,0,0.36787799,90,0,701,1.079370022,0.841808021,,,,,,
EPL,2014,Willian,80,AMR,0,0,2,0.086429097,0.42078799,87,2,700,0.517989993,0.400754005,,,,,,
EPL,2014,Eden Hazard,80,AML,0,1,4,0.239818007,0.173696995,90,2,701,1.031020045,0.644638002,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,1,2,0.210293993,0.251982987,90,2,616,1.067209959,0.710896015,,,,,,
EPL,2014,Samir Nasri,88,AML,0,0,0,0.081292301,0,78,1,877,0.187252,0.105959997,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,0,2,0,0.663720012,90,0,644,0.69325,0.579581022,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,1,1,0.0597407,0.540332973,64,1,648,0.600073993,0,,,,,,
EPL,2014,Alexis Sánchez,83,FWR,1,1,5,1.243919969,0.640442014,90,5,498,0.996882975,0.033661701,,,,,,
EPL,2014,Danny Welbeck,83,FWL,0,0,1,0.208922997,0.0134958,89,2,501,0.603855014,0.38143599,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,0,0.0425185,0,80,2,775,0.069839403,0.027320899,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,0,0.024639901,0,80,1,648,0.037797902,0.0131581,,,,,,
EPL,2014,André Schürrle,80,AMR,0,0,0,0,0,48,0,154,0,0,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,0,0.146327004,0,90,2,701,0.443434,0.297107011,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,1,5,0.079938598,0.629127026,90,2,616,0.928690016,0.397938997,,,,,,
EPL,2014,Samir Nasri,88,AML,0,1,2,0.215933993,0.105145,79,4,877,0.37480399,0.112222999,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,1,5,0.517925978,0.946807981,90,3,966,1.389209986,0.71794802,,,,,,
EPL,2014,Danny Welbeck,83,AML,1,0,1,0.929432988,0.0364017,87,3,501,1.048020005,0.082185999,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,4,0.858938992,0.242534995,90,6,616,1.458680034,0.374585986,,,,,,
EPL,2014,Samir Nasri,88,AML,0,0,5,0.087539896,0.166976005,86,2,877,1.195340037,1.072170019,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,1,0.092370503,0.074236602,90,2,966,0.231196001,0.064588703,,,,,,
EPL,2014,Tomas Rosicky,83,AML,0,0,1,0,0.373398006,90,0,4400,0.398842007,0.0254442,,,,,,
EPL,2014,Andros Townsend,82,AMR,1,0,0,0.761169016,0,69,1,775,0.321788013,0.321788013,,,,,,
EPL,2014,Nacer Chadli,82,AML,1,1,2,0.572549999,0.204348996,90,5,648,1.150789976,0.373885989,,,,,,
EPL,2014,Willian,80,AMR,0,0,0,0.035448901,0,75,1,700,0.035448901,0,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,5,0.641825974,0.730894983,90,5,701,1.528519988,0.806379974,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0.118115,0.056698199,90,1,700,0.264773011,0.264773011,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,1,0,0.179184005,90,0,701,0.489600003,0.310416013,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,1,0.056425299,0.047148298,90,1,616,0.245732993,0.189308003,,,,,,
EPL,2014,Samir Nasri,88,AML,0,0,5,0.129341006,0.240539998,90,3,877,0.340034008,0.194833994,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,1,0,0.036708102,70,0,775,0.0555964,0.0188883,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,1,2,0.092184201,0.080175303,90,1,648,0.115037002,0.0348612,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,1,0.170828,0.429697007,73,3,966,0.600525022,0.429697007,,,,,,
EPL,2014,Alexis Sánchez,83,AML,2,1,5,0.253389001,0.967688978,90,4,498,0.721967995,0,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0.629411995,0.070688903,78,3,700,1.354310036,0.654214025,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,6,0.106192999,0.384847999,90,3,701,2.019229889,1.624289989,,,,,,
EPL,2014,Christian Eriksen,82,AMR,1,0,6,0.347822994,0.169608995,90,7,646,0.565091014,0.103986003,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,1,0.137091994,0.026434699,90,4,648,0.205688,0.068596102,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,2,0.160361007,0.126301005,77,3,616,0.286662012,0,,,,,,
EPL,2014,James Milner,88,AML,0,0,1,0,0.0266841,47,0,489,0.0266841,0,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,0,1,0.059358299,0.024093401,90,2,644,0.282094985,0.222736001,,,,,,
EPL,2014,Christian Eriksen,82,AML,1,0,2,0.078055203,0.047997002,90,2,646,0.355459988,0.318471014,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0,0.019109299,82,0,700,0.642729998,0.642729998,,,,,,
EPL,2014,Eden Hazard,80,AML,0,1,1,0,0.642729998,90,0,701,0.642729998,0.642729998,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,3,0.0303539,0.088948898,90,1,616,0.119303003,0.0147645,,,,,,
EPL,2014,James Milner,88,AML,0,0,3,0.077357002,0.104002997,90,2,489,0.151005998,0,,,,,,
EPL,2014,Theo Walcott,83,AMR,1,0,0,0.228997007,0,71,2,503,0.362192005,0.133194998,,,,,,
EPL,2014,Mesut Özil,83,AML,1,1,2,0.133194998,0.415657997,90,1,499,0.603890002,0.055036802,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,0,3,0.188823,0.0579479,90,2,644,0.329760998,0.125329003,,,,,,
EPL,2014,Christian Eriksen,82,AML,0,0,5,0.098174699,0.227068007,90,3,646,0.296388,0.104335003,,,,,,
EPL,2014,Danny Welbeck,83,FWR,0,0,1,0.0288355,0.102950998,80,1,501,0.254384011,0.122598,,,,,,
EPL,2014,Mesut Özil,83,FWL,1,0,1,0.481370986,0.122598,90,1,499,0.603968978,0,,,,,,
EPL,2014,Willian,80,AMR,0,1,2,0.0521961,0.631241977,83,2,700,0.591759026,0,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,4,0.591731012,0.149293005,90,2,701,0.701694012,0.090372197,,,,,,
EPL,2014,Theo Walcott,83,FWR,1,0,0,0.775193989,0,75,2,503,0.775193989,0,,,,,,
EPL,2014,Mesut Özil,83,FWL,0,1,4,0.198091,0.811075985,90,3,499,0.543887019,0.524982989,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,1,3,0.0904698,0.493469,90,2,644,0.518752992,0.415618002,,,,,,
EPL,2014,Christian Eriksen,82,AML,0,0,0,0.0628253,0,83,2,646,0.523558021,0.506699026,,,,,,
EPL,2014,Juan Cuadrado,80,AMR,0,0,3,0.085050702,0.153007001,71,2,1089,0.209932998,0.056720302,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,3,0.163988993,0.171352997,90,4,701,0.379792005,0.149331003,,,,,,
EPL,2014,Juan Cuadrado,80,AMR,0,0,1,0.113163002,0.043583401,65,2,1089,0.875202,0.71845597,,,,,,
EPL,2014,Eden Hazard,80,AML,0,1,4,0,0.885406971,90,0,701,0.973412991,0.088006496,,,,,,
EPL,2014,Danny Welbeck,83,AMR,0,0,0,0.324634999,0,79,1,501,0.68167001,0.357033998,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,0,2,0.357033998,0.367514998,90,2,498,0.724548995,0,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,2,0,0.038479399,62,0,775,0.088750497,0.0759307,,,,,,
EPL,2014,Erik Lamela,82,AML,0,0,2,0.099652901,0.0877195,90,3,644,0.369498998,0.239054993,,,,,,
EPL,2014,Ángel Di María,89,AMR,0,0,2,0.062593199,0.074011803,47,2,3553,0.0721322,0.0420813,,,,,,
EPL,2014,Ashley Young,89,AML,0,0,4,0.113441996,0.295828015,90,3,631,0.189569995,0.127388999,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,3,0,0.230184004,84,0,966,0.402911991,0.276562005,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,0,2,0.050553098,0.452188998,89,2,498,0.693130016,0.604754984,,,,,,
EPL,2014,Ramires,80,AMR,0,1,1,0.773633003,0.637678027,90,3,936,1.61856997,0.207257003,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,4,0.897010982,1.099750042,90,4,701,1.679290056,0.861517012,,,,,,
EPL,2014,Ángel Di María,89,AMR,0,0,1,0,0.345486999,60,0,3553,0.674295008,0.674295008,,,,,,
EPL,2014,Ashley Young,89,AML,1,0,3,0.69283998,0.46044299,90,2,631,1.142030001,0,,,,,,
EPL,2014,Andros Townsend,82,AMR,1,0,0,0.650485992,0,70,3,775,0.679708004,0.091347001,,,,,,
EPL,2014,Nacer Chadli,82,AML,1,0,3,0.331896007,0.0477584,90,2,648,0.946932971,0.583343983,,,,,,
EPL,2014,Mesut Özil,83,FWR,0,0,5,0.74712801,0.278219014,90,3,499,1.299360037,0.359851986,,,,,,
EPL,2014,Alexis Sánchez,83,FWL,1,0,2,0.324398994,0.108768001,90,5,498,0.433165997,0,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,1,1,0.045394301,0.411605,67,1,775,0.558956027,0.51356101,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,1,0,0.066726297,81,0,648,0.067366898,0.067366898,,,,,,
EPL,2014,Theo Walcott,83,AMR,0,0,1,0.739006996,0.070192002,74,3,503,0.999086022,0.189888,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,0,0,0.211168006,0,67,4,498,0.714134991,0.52048099,,,,,,
EPL,2014,Willian,80,AMR,0,0,2,0.112148002,0.463624001,84,2,700,1.282539964,0.754351974,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,4,0.296398997,0.249761999,90,1,701,1.587059975,1.040899992,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,0,0,0,30,0,775,0,0,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,1,0,0.041506,80,0,648,0.041506,0,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,0,0,0,63,0,775,0,0,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,1,0.720978022,0.130693004,90,3,648,1.265480042,0.544503987,,,,,,
EPL,2014,Alexis Sánchez,83,AMR,0,0,2,0.071685001,0.064151198,73,1,498,0.064151198,0.064151198,,,,,,
EPL,2014,Danny Welbeck,83,AML,0,1,1,0.379799008,0.134802997,90,3,501,0.368261993,0,,,,,,
EPL,2014,Willian,80,AMR,0,1,1,0.0439911,0.405824989,82,1,700,0.62924403,0.179427996,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,1,0.029840101,0.092701599,90,1,701,0.75860101,0.728761017,,,,,,
EPL,2014,Aaron Ramsey,83,AMR,0,2,2,0.352398992,0.228376001,63,1,504,0.617765009,0.0369903,,,,,,
EPL,2014,Alexis Sánchez,83,AML,1,1,3,0.198027,0.247034997,90,3,498,0.498207986,0.173866004,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0.058949001,0.0545348,90,1,700,1.645599961,1.645599961,,,,,,
EPL,2014,Eden Hazard,80,AML,1,1,7,0.892947018,1.718899965,90,4,701,1.893339992,0.823153019,,,,,,
EPL,2014,Christian Eriksen,82,AMR,0,0,1,0.0758899,0.0177365,90,2,646,0.265242994,0.204974994,,,,,,
EPL,2014,Nacer Chadli,82,AML,0,0,0,0.063157298,0,66,2,648,0.114509001,0.066418096,,,,,,
EPL,2014,Andros Townsend,82,AMR,0,0,4,0.017447401,0.264346004,81,1,775,0.161358997,0.108926997,,,,,,
EPL,2014,Christian Eriksen,82,AML,0,0,3,0.126617,0.148214996,90,3,646,0.292279989,0.017447401,,,,,,
EPL,2014,Aaron Ramsey,83,AMR,1,0,0,0.595278978,0,90,3,504,0.62014699,0.024867799,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,0,0,0.437631011,0,90,6,498,0.569383979,0.178244993,,,,,,
